날짜,항공사,출발시간,출발지,도착시간,도착지,소요시간,가격,최저가 결제수단
2024.03.15 Fri,에어서울,07:15,ICN,09:05,KIX, 01:50,"195,200원",Mile1 하나
2024.03.15 Fri,이스타항공,09:05,ICN,10:55,KIX, 01:50,"199,000원",KB국민
2024.03.15 Fri,제주항공,07:00,ICN,09:00,KIX, 02:00,"209,200원",삼성
2024.03.15 Fri,진에어,08:55,ICN,10:50,KIX, 01:55,"223,700원",KB국민
2024.03.15 Fri,티웨이항공,12:10,ICN,14:00,KIX, 01:50,"226,100원",삼성 iD NOMAD 
2024.03.15 Fri,에어부산,15:35,ICN,17:30,KIX, 01:55,"228,400원",Mile1 하나
2024.03.15 Fri,이스타항공,15:05,ICN,17:00,KIX, 01:55,"241,700원",현대 M2/M3 Edition2
2024.03.15 Fri,진에어,08:50,ICN,10:35,KIX, 01:45,"245,800원",KB국민
2024.03.15 Fri,진에어,15:00,ICN,16:40,KIX, 01:40,"245,800원",KB국민
2024.03.15 Fri,에어서울,15:05,ICN,17:00,KIX, 01:55,"252,100원",Mile1 하나
2024.03.15 Fri,제주항공,09:10,ICN,11:00,KIX, 01:50,"253,100원",삼성
2024.03.15 Fri,제주항공,09:40,ICN,11:30,KIX, 01:50,"253,100원",삼성
2024.03.15 Fri,진에어,14:05,ICN,16:00,KIX, 01:55,"267,800원",KB국민
2024.03.15 Fri,에어부산,12:35,ICN,14:25,KIX, 01:50,"280,400원",모든 결제수단
2024.03.15 Fri,에어부산,09:45,ICN,11:30,KIX, 01:45,"280,400원",모든 결제수단
2024.03.15 Fri,아시아나항공,08:05,ICN,09:40,KIX, 01:35,"337,300원",현대 M2/M3 Edition2
2024.03.15 Fri,대한항공,15:10,ICN,17:00,KIX, 01:50,"338,000원",현대 M2/M3 Edition2
2024.03.15 Fri,대한항공,10:50,ICN,12:35,KIX, 01:45,"346,200원",신한
2024.03.15 Fri,대한항공,09:00,ICN,10:45,KIX, 01:45,"346,200원",신한
2024.03.15 Fri,일본항공,15:10,ICN,17:00,KIX, 01:50,"351,000원",KB국민
2024.03.15 Fri,일본항공,09:00,ICN,10:45,KIX, 01:45,"351,000원",KB국민
2024.03.15 Fri,일본항공,10:50,ICN,12:35,KIX, 01:45,"351,000원",KB국민
2024.03.15 Fri,ANA,08:05,ICN,09:40,KIX, 01:35,"351,500원",KB국민
2024.03.16 Sat,에어서울,15:05,ICN,17:00,KIX, 01:55,"168,700원",신한
2024.03.16 Sat,티웨이항공,12:10,ICN,14:00,KIX, 01:50,"177,500원",삼성 iD NOMAD 
2024.03.16 Sat,에어부산,15:35,ICN,17:30,KIX, 01:55,"179,900원",하나
2024.03.16 Sat,이스타항공,15:05,ICN,17:00,KIX, 01:55,"181,500원",KB국민
2024.03.16 Sat,진에어,15:00,ICN,16:40,KIX, 01:40,"190,400원",현대 M2/M3 Edition2
2024.03.16 Sat,이스타항공,09:05,ICN,10:55,KIX, 01:50,"199,000원",KB국민
2024.03.16 Sat,티웨이항공,14:40,ICN,16:30,KIX, 01:50,"201,300원",삼성 iD NOMAD 
2024.03.16 Sat,에어서울,07:15,ICN,09:05,KIX, 01:50,"205,600원",신한
2024.03.16 Sat,에어서울,13:10,ICN,15:00,KIX, 01:50,"205,600원",신한
2024.03.16 Sat,제주항공,15:15,ICN,17:00,KIX, 01:45,"209,200원",삼성
2024.03.16 Sat,제주항공,09:10,ICN,11:00,KIX, 01:50,"209,200원",삼성
2024.03.16 Sat,제주항공,07:00,ICN,09:00,KIX, 02:00,"209,200원",삼성
2024.03.16 Sat,제주항공,09:40,ICN,11:30,KIX, 01:50,"209,200원",삼성
